name,job_title,phd_univ,phd_year,research_area,research_concentration,research_focus,url,img_url,phone,email,cell_phone,office_address,department,school
Robert Constable,Professor Emeritus,Univ Wisconsin Madison,1968,"Programming Languages, Theory of Computing",Programming Languages and Logics,Type theory and automated reasoning,http://www.cs.cornell.edu/home/rc/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Constable%2C%20Robert.jpg?itok=9rwAYk6y,,,,,"Computer Science, CS Field Member",
Anil Damle,Assistant Professor,Stanford Univ,2016,Scientific Computing,Scientific Computing and Applications,"Development of algorithms in applied and computational mathematics (e.g. numerical linear algebra, computational quantum chemistry, and spectral clustering)",https://www.cs.cornell.edu/~damle/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Damle%2C%20Anil.jpg?itok=K9G8lCFc,,,,,Computer Science CS Field Member,
Cristian Danescu-Niculescu-Mizil,Assistant Professor,Cornell Univ,2012,"Artificial Intelligence, Human Interaction",Artificial Intelligence,"Computational Social Science, Social Computing, Computational Linguistics, Natural Language Processing",http://www.cs.cornell.edu/~cristian/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Danescu%2C%20Cristian.jpg?itok=0vgfJFjc,,,,,"Information Science, CS Field Member",
Abe Davis,Assistant Professor,MIT,2016,"Artificial Intelligence, Graphics, Human Interaction, Vision",,"Computer Graphics, Vision, HCI",http://www.abedavis.com/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/mad324-cs-ap-001_0.jpg?itok=KGZGJ22A,,,,,"Computer Science, CS Field Member",
Christopher De Sa,Assistant Professor,Stanford Univ,2017,Artificial Intelligence,"Artificial Intelligence, Systems","Developing and understanding algorithmic, software, and hardware techniques for high-performance machine learning",http://www.cs.cornell.edu/~cdesa/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/cmd353-cs-ap-002_2.jpg?itok=jPbkDxUg,,,,,Computer Science CS Field Member,
Sarah Dean,Assistant Professor,Univ California Berkeley,2021,"Machine Learning, Robotics","Artificial Intelligence, Theory of Computation","Understanding tradeoffs and limitations arising from the interplay between Control and Optimization, Machine Learning, and Dynamics in real-world systems",https://people.eecs.berkeley.edu/~sarahdean/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/sarah_dean.jpg?itok=2h97ah7Q,,,,,Computer Science; CS Field Member,
Nicola Dell,Assistant Professor,Univ Washington,2015,Human Interaction,Artificial Intelligence,Human computer interaction (HCI) and Information and Communication Technologies for Development (ICTD),http://www.nixdell.com/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Dell%2C%20Nicola.jpg?itok=9VrfjxQU,,,,,"Information Science, Cornell Tech, CS Field Member",
Alan Demers,Principal Research Scientist (Retired),Princeton Univ,1975,Database Systems,,"Database systems, database replication, and algorithms",http://www.cs.cornell.edu/annual_report/00-01/bios.htm#demers,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Demers%2C%20ALan.jpg?itok=xgfdDCuN,,,,,"Computer Science, CS Field Member",
Shimon Edelman,Professor,Weizmann Institue Science,1988,Artificial Intelligence,Artificial Intelligence,"Consciousness, computational social science, computational linguistics",http://kybele.psych.cornell.edu/~edelman/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/shimon_edelman.jpg?itok=lrQX2hQ4,,,,,"Psychology, CS Field Member",
Ahmed El Alaoui,Assistant Professor,Univ California Berkeley,2018,Theory of Computing,Theory of Computation,"High-dimensional statistics and probability, algorithms, statistical physics",https://elalaoui.stat.cornell.edu/,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/ahmed.jpg?itok=G1Rj5aWo,,,,,"Statistics and Data Science, CS Field Member",
